1	8727436
2	11518380
3	12282113
4	7300160
5	11492116
6	12767534
7	11778421
8	1965453
9	11328146
10	12195609
11	146235
12	12157371
13	12485490
14	12866270
15	12870978
16	12598324
17	92233
18	9046690
19	158267
20	9388639
21	153243
22	10952213
23	11969714
24	734648
25	12001938
26	12163259
27	149634
28	12739646
29	158428
30	12174524
31	12869858
32	2622942
33	23233
34	11418893
35	10399680
36	149637
37	12846805
38	12805686
39	12860332
40	12063011
41	12697879
42	12803643
43	12828296
44	12281372
45	12500663
46	31224051
47	12244277
48	12668179
49	11747071
50	9184805
51	12869557
52	12697808
53	11862656
54	12832995
55	8458376
56	12064581
57	31262168
58	12118254
59	12875865
60	12743086
61	7983087
62	12543616
63	12836474
64	12808349
65	11942374
66	12671327
67	12842732
68	12848608
69	12845996
70	12865305
71	156324
72	12858414
73	12739861
74	12465482
75	12192999
76	12858541
77	12803780
78	12641916
79	12877364
80	12694712
81	12814148
82	12855348
83	12332904
84	12878475
85	12828787
86	12555783
87	12618651
88	12817503
89	12842675
90	12867461
91	12742373
92	12867398
93	12828016
94	12863562
95	12834114
96	12834168
97	12804285
98	12878199
99	12859423
100	12071020
101	12867077
102	12870190
103	12850930
104	12874453
105	12320859
106	12868598
107	12828007
108	12869859
